Genes	monophyletic_group_code	Species
Smp_145290, Smp_307840	F24261_SCM_G1	S. mansoni
Smp_134530, Smp_307590	F24268_SCM_G1	S. mansoni
Smp_070110, Smp_303590	F24271_SCM_G1	S. mansoni
Smp_213490, Smp_321050	F24319_SCM_G1	S. mansoni
Smp_328600, Smp_336700	F24321_SCM_G1	S. mansoni
Smp_102430, Smp_040510	F24327_SCM_G1	S. mansoni
Smp_173840, Smp_320620	F24370_SCM_G1	S. mansoni
Smp_059790, Smp_302460	F24376_SCM_G1	S. mansoni
Smp_327270, Smp_328790	F24385_SCM_G1	S. mansoni
Smp_331970, Smp_332040	F24385_SCM_G2	S. mansoni
Smp_168550, Smp_312170	F24385_SCM_G3	S. mansoni
Smp_024930, Smp_337830	F24392_SCM_G1	S. mansoni
Smp_058690, Smp_058700	F24414_SCM_G1	S. mansoni
Smp_154260, Smp_176160	F24416_SCM_G1	S. mansoni
Smp_135170, Smp_306130	F24439_SCM_G1	S. mansoni
Smp_072630, Smp_337030, Smp_337020	F24479_SCM_G1	S. mansoni
Smp_010620, Smp_303640	F24481_SCM_G1	S. mansoni
Smp_196150, Smp_316750	F24525_SCM_G1	S. mansoni
Smp_034100, Smp_331530	F24543_SCM_G1	S. mansoni
Smp_007380, Smp_303510	F24570_SCM_G1	S. mansoni
Smp_083870, Smp_332190	F24574_SCM_G1	S. mansoni
Smp_157780, Smp_332220	F24606_SCM_G1	S. mansoni
Smp_137660, Smp_311740	F24627_SCM_G1	S. mansoni
Smp_312440, Smp_312460	F24630_SCM_G1	S. mansoni
Smp_068920, Smp_245240	F24639_SCM_G1	S. mansoni
Smp_324710, Smp_092880	F24643_SCM_G1	S. mansoni
Smp_156780, Smp_303360	F24649_SCM_G1	S. mansoni
Smp_137580, Smp_332880	F24650_SCM_G1	S. mansoni
Smp_168450, Smp_336080	F24685_SCM_G1	S. mansoni
Smp_024030, Smp_333130	F24707_SCM_G1	S. mansoni
Smp_305200, Smp_314650	F24718_SCM_G1	S. mansoni
Smp_031100, Smp_303540	F24727_SCM_G1	S. mansoni
Smp_176630, Smp_320840	F24764_SCM_G1	S. mansoni
Smp_321680, Smp_334340	F24770_SCM_G1	S. mansoni
Smp_302330, Smp_307210	F24819_SCM_G1	S. mansoni
Smp_300380, Smp_300390	F24823_SCM_G1	S. mansoni
Smp_201220, Smp_335710	F24825_SCM_G1	S. mansoni
SROB_0000761501, SROB_0002103701, SROB_0002254201	F14044_SCR_G1	S. rodhaini
SROB_0000900501, SROB_0000164401	F14044_SCR_G2	S. rodhaini
SROB_0000665801, SROB_0000599101	F14048_SCR_G1	S. rodhaini
SROB_0001312201, SROB_0000902401	F14048_SCR_G2	S. rodhaini
SROB_0001843101, SROB_0000678901, SROB_0001875401	F14048_SCR_G3	S. rodhaini
SROB_0001124101, SROB_0000640701, SROB_0001389501, SROB_0001042101	F14048_SCR_G4	S. rodhaini
SROB_0000109401, SROB_0002286201	F14117_SCR_G1	S. rodhaini
SROB_0000081901, SROB_0000899701	F14118_SCR_G1	S. rodhaini
SROB_0000467101, SROB_0000134301, SROB_0001562101	F14122_SCR_G1	S. rodhaini
SROB_0000227701, SROB_0002083101, SROB_0000616101, SROB_0000690101, SROB_0001654201, SROB_0001436001, SROB_0001879601	F14131_SCR_G1	S. rodhaini
SROB_0001751501, SROB_0000160701, SROB_0000027101, SROB_0001393701, SROB_0000426701, SROB_0001447701, SROB_0000797301	F14131_SCR_G2	S. rodhaini
SROB_0000338001, SROB_0001988701	F14131_SCR_G3	S. rodhaini
SROB_0002344401, SROB_0001444101, SROB_0001253601, SROB_0000478701, SROB_0001166401, SROB_0001170801, SROB_0000792401, SROB_0000198001, SROB_0000349601, SROB_0001435601, SROB_0001376601, SROB_0001524401, SROB_0001074001, SROB_0002036901, SROB_0001104901, SROB_0001096601, SROB_0000815901, SROB_0001406701, SROB_0001866901, SROB_0001092801, SROB_0000751201, SROB_0000180401, SROB_0002107001, SROB_0001046501, SROB_0000258201, SROB_0001275501, SROB_0000130001, SROB_0000317201, SROB_0001746601, SROB_0000398101, SROB_0001782801, SROB_0002159701, SROB_0001762101, SROB_0001063801, SROB_0001753401, SROB_0000941101	F14131_SCR_G4	S. rodhaini
SROB_0000985101, SROB_0000323401, SROB_0000999401	F14131_SCR_G5	S. rodhaini
SROB_0000596001, SROB_0000889801, SROB_0001337301, SROB_0002332001, SROB_0000112301, SROB_0001021801, SROB_0000661301, SROB_0000815501, SROB_0000129101, SROB_0000928601, SROB_0000493701, SROB_0002181801	F14131_SCR_G6	S. rodhaini
SROB_0001309901, SROB_0000271301, SROB_0000926301	F14131_SCR_G7	S. rodhaini
SROB_0000204901, SROB_0000878201	F14131_SCR_G8	S. rodhaini
SROB_0002020201, SROB_0001298801, SROB_0001553201, SROB_0001578601, SROB_0002402501	F14145_SCR_G1	S. rodhaini
SROB_0000296201, SROB_0001317201, SROB_0000265501, SROB_0001503001, SROB_0001686301, SROB_0000086301, SROB_0002300701, SROB_0001097401, SROB_0001700301, SROB_0001968601, SROB_0000583701, SROB_0000349901, SROB_0000846801, SROB_0001380701, SROB_0001026601, SROB_0000344901, SROB_0000345001	F14173_SCR_G1	S. rodhaini
SROB_0000308301, SROB_0000044701, SROB_0001222201, SROB_0000223501, SROB_0000666201, SROB_0000990401, SROB_0001156901, SROB_0001471801, SROB_0001418601, SROB_0000970001, SROB_0001024601, SROB_0000798901, SROB_0001264001, SROB_0000289501, SROB_0001423801, SROB_0002361101, SROB_0001102201, SROB_0001372801, SROB_0000913401, SROB_0000539301, SROB_0000517501, SROB_0001669701, SROB_0000217201, SROB_0000226601, SROB_0000572601, SROB_0000506401, SROB_0000630901, SROB_0000588501, SROB_0000641901, SROB_0000132901, SROB_0000589501, SROB_0000469901, SROB_0001625201, SROB_0000552301, SROB_0000566201, SROB_0001019501, SROB_0001685901, SROB_0000959901, SROB_0001862601, SROB_0000291401, SROB_0000147301, SROB_0001451101, SROB_0001953301, SROB_0000746301, SROB_0001737301, SROB_0000202201	F14181_SCR_G1	S. rodhaini
SROB_0000542501, SROB_0000473001, SROB_0000419701, SROB_0000425701	F14184_SCR_G1	S. rodhaini
SROB_0000777501, SROB_0002128801	F14215_SCR_G1	S. rodhaini
SROB_0001355901, SROB_0000164301, SROB_0002075401	F14231_SCR_G1	S. rodhaini
SROB_0000284101, SROB_0000728001, SROB_0000796501	F14240_SCR_G1	S. rodhaini
SROB_0001096201, SROB_0001865801, SROB_0001048301	F14250_SCR_G1	S. rodhaini
SROB_0000096201, SROB_0000774201	F14258_SCR_G1	S. rodhaini
SROB_0001236601, SROB_0001727401, SROB_0001150201	F14265_SCR_G1	S. rodhaini
SROB_0000215401, SROB_0000573501, SROB_0000314801, SROB_0001653501	F14332_SCR_G1	S. rodhaini
SROB_0002080001, SROB_0002134701	F14400_SCR_G1	S. rodhaini
SROB_0000581801, SROB_0001791601	F14639_SCR_G1	S. rodhaini
SROB_0000108801, SROB_0002381901	F14677_SCR_G1	S. rodhaini
SROB_0000079401, SROB_0001553901, SROB_0002121901	F14698_SCR_G1	S. rodhaini
SROB_0000728301, SROB_0000652901, SROB_0000401001, SROB_0001868501, SROB_0001922001, SROB_0002183501	F14789_SCR_G1	S. rodhaini
SROB_0000473601, SROB_0000819501, SROB_0000862301, SROB_0000732601, SROB_0000896101, SROB_0000137001, SROB_0000137101, SROB_0000586201, SROB_0001852601, SROB_0000571701, SROB_0002346601, SROB_0000047301, SROB_0000198501, SROB_0001103201, SROB_0001262001, SROB_0001302201, SROB_0002237301, SROB_0000300901, SROB_0001919801, SROB_0001243301, SROB_0001061801, SROB_0002367601, SROB_0000439201, SROB_0000354301, SROB_0001862101, SROB_0000712401, SROB_0000236401, SROB_0002223401, SROB_0000145301, SROB_0001873101, SROB_0002394701, SROB_0001738501, SROB_0001661301, SROB_0001945601, SROB_0000437201, SROB_0000524501, SROB_0001912101, SROB_0000786901, SROB_0000431701, SROB_0002337601, SROB_0000468501, SROB_0002341901, SROB_0000080501, SROB_0002313201, SROB_0000325401	F14893_SCR_G1	S. rodhaini
SROB_0000160501, SROB_0000752401	F14923_SCR_G1	S. rodhaini
SROB_0000370401, SROB_0000569301, SROB_0001239601, SROB_0001170901, SROB_0001194201, SROB_0001200401, SROB_0002052001, SROB_0002001701, SROB_0000503401, SROB_0000695301, SROB_0001008501, SROB_0001445501, SROB_0000154201, SROB_0001296101, SROB_0002390001, SROB_0000817301, SROB_0001499001, SROB_0000441301	F14979_SCR_G1	S. rodhaini
SROB_0001061901, SROB_0002196701, SROB_0001673401, SROB_0001404201	F15006_SCR_G1	S. rodhaini
SROB_0002213701, SROB_0000135301, SROB_0000672701, SROB_0000283901, SROB_0000613601, SROB_0001419001, SROB_0002376001, SROB_0000440101, SROB_0002357201, SROB_0000226201, SROB_0000627301, SROB_0000000501, SROB_0000593501, SROB_0000720101, SROB_0001991001, SROB_0002248701, SROB_0000601601	F15112_SCR_G1	S. rodhaini
SROB_0000025901, SROB_0000887601	F15112_SCR_G2	S. rodhaini
SROB_0002086901, SROB_0000731701, SROB_0001817101, SROB_0000808901, SROB_0000869801, SROB_0001095601, SROB_0002124901, SROB_0001273201, SROB_0000368101, SROB_0001768301, SROB_0000185001, SROB_0002254401, SROB_0001237601, SROB_0001075901, SROB_0001956501, SROB_0001979901, SROB_0002304301, SROB_0001797301, SROB_0000023801, SROB_0002330001, SROB_0000336601, SROB_0000376501, SROB_0002099001, SROB_0001898001, SROB_0000741801, SROB_0002338601, SROB_0000938201, SROB_0000636801	F15141_SCR_G1	S. rodhaini
SROB_0000248701, SROB_0001310501, SROB_0000491101, SROB_0000443201, SROB_0001875501, SROB_0000191501, SROB_0001410401	F15245_SCR_G1	S. rodhaini
SROB_0001794301, SROB_0002403801, SROB_0002390301, SROB_0002227201, SROB_0002047201	F15388_SCR_G1	S. rodhaini
SROB_0000463001, SROB_0000982301	F15443_SCR_G1	S. rodhaini
SROB_0002329401, SROB_0000936001, SROB_0001507501, SROB_0002116501, SROB_0002197101, SROB_0002050501, SROB_0000043801, SROB_0002212101, SROB_0001274001, SROB_0002112101	F15454_SCR_G1	S. rodhaini
SROB_0002200601, SROB_0000135501, SROB_0000974901, SROB_0000906201, SROB_0001513101, SROB_0002058201, SROB_0002014201, SROB_0001534401, SROB_0000288201, SROB_0000752701, SROB_0001769901, SROB_0001422101, SROB_0002282801, SROB_0001243501, SROB_0000035801, SROB_0000215001, SROB_0001534101, SROB_0001762501, SROB_0001353601, SROB_0001824301, SROB_0000775401, SROB_0001345001, SROB_0001928601, SROB_0001717401, SROB_0001133201, SROB_0001332901, SROB_0001965401, SROB_0002222601, SROB_0001664201, SROB_0001132101, SROB_0002162801, SROB_0002053701, SROB_0000653101, SROB_0000947101, SROB_0002177201, SROB_0001494901, SROB_0001498801, SROB_0001371301, SROB_0002295301, SROB_0000405401, SROB_0002331401, SROB_0000250701, SROB_0002106901, SROB_0000639201, SROB_0000539701, SROB_0000454101, SROB_0000948501, SROB_0000676501, SROB_0000476801, SROB_0000893001, SROB_0001299301, SROB_0000033601, SROB_0000618801, SROB_0001002801, SROB_0001841401, SROB_0001257901, SROB_0002066801, SROB_0000110001, SROB_0001569801, SROB_0000545201, SROB_0001551601, SROB_0002202601, SROB_0000682601, SROB_0000339801, SROB_0001631401, SROB_0000438101, SROB_0000685901, SROB_0001199901, SROB_0000713201, SROB_0001214101, SROB_0000399301, SROB_0000200201, SROB_0000705701, SROB_0000854501	F15482_SCR_G1	S. rodhaini
SROB_0001465801, SROB_0000521001, SROB_0001224101	F15493_SCR_G1	S. rodhaini
SROB_0002329201, SROB_0000687501, SROB_0000716401, SROB_0001751901	F15509_SCR_G1	S. rodhaini
SROB_0002370101, SROB_0002193601, SROB_0000878801, SROB_0001388801, SROB_0000525501, SROB_0000043301, SROB_0002217801, SROB_0002243501, SROB_0001354701, SROB_0001497101, SROB_0000532401, SROB_0000944701, SROB_0001686701	F15528_SCR_G1	S. rodhaini
SROB_0000317101, SROB_0000130601, SROB_0000010501, SROB_0000661401, SROB_0002251101, SROB_0001102701, SROB_0000436501, SROB_0000853001, SROB_0000770101, SROB_0000184001, SROB_0000099501	F15536_SCR_G1	S. rodhaini
SROB_0000562701, SROB_0001672001, SROB_0001041701, SROB_0000189101, SROB_0000824801, SROB_0000928701, SROB_0000012001, SROB_0000577901, SROB_0000657101, SROB_0001038001, SROB_0002179901, SROB_0000199001, SROB_0000930201, SROB_0000765401, SROB_0001037901, SROB_0000942701	F15537_SCR_G1	S. rodhaini
SROB_0001722701, SROB_0000871301, SROB_0000861701, SROB_0002312201, SROB_0000015601, SROB_0002238901, SROB_0001293501, SROB_0001188801, SROB_0001921801, SROB_0002287401, SROB_0000578301, SROB_0000834501, SROB_0001503901, SROB_0001094201, SROB_0001185901, SROB_0001987301, SROB_0001582401	F15538_SCR_G1	S. rodhaini
SROB_0000028401, SROB_0000065901	F15540_SCR_G1	S. rodhaini
SROB_0000036001, SROB_0001581401	F15541_SCR_G1	S. rodhaini
SROB_0001330601, SROB_0000036701, SROB_0001370901	F15542_SCR_G1	S. rodhaini
SROB_0000119701, SROB_0000038301, SROB_0001260301, SROB_0000982401, SROB_0002408101	F15543_SCR_G1	S. rodhaini
SROB_0001298001, SROB_0000659101, SROB_0001534701, SROB_0002233501, SROB_0000918401, SROB_0000140901, SROB_0000282501, SROB_0001449601, SROB_0002355701, SROB_0000405901, SROB_0002375601, SROB_0002231501, SROB_0001287801, SROB_0001716401, SROB_0000727201, SROB_0001466901, SROB_0001678401, SROB_0000474201, SROB_0001847101, SROB_0000478601, SROB_0002260601, SROB_0002305101, SROB_0002214701, SROB_0000177301, SROB_0002259701, SROB_0001612601, SROB_0001050101, SROB_0001201601, SROB_0001606301, SROB_0001995401, SROB_0000659201, SROB_0000326001, SROB_0000358801, SROB_0000614101, SROB_0002367001, SROB_0000288701, SROB_0002369701, SROB_0001831201, SROB_0000980701, SROB_0000924701, SROB_0000967601, SROB_0000410101, SROB_0001824501, SROB_0001946601, SROB_0002030301, SROB_0002280601, SROB_0001657801, SROB_0000873101, SROB_0001756801, SROB_0000044901, SROB_0000156701	F15544_SCR_G1	S. rodhaini
SROB_0000049701, SROB_0000153101, SROB_0000281001	F15545_SCR_G1	S. rodhaini
SROB_0001801001, SROB_0002243101, SROB_0000050001	F15546_SCR_G1	S. rodhaini
SROB_0000062101, SROB_0001376401	F15547_SCR_G1	S. rodhaini
SROB_0000605901, SROB_0000117201, SROB_0001915501, SROB_0002227101, SROB_0001846901, SROB_0001806201, SROB_0000647501, SROB_0002352301, SROB_0000068401, SROB_0002407101	F15548_SCR_G1	S. rodhaini
SROB_0002388001, SROB_0000069801, SROB_0002348501	F15549_SCR_G1	S. rodhaini
SROB_0000075101, SROB_0001221401	F15550_SCR_G1	S. rodhaini
SROB_0001792901, SROB_0000885101, SROB_0001777401, SROB_0002191601, SROB_0001526001, SROB_0001793001, SROB_0000082301, SROB_0001986201, SROB_0001549101	F15551_SCR_G1	S. rodhaini
SROB_0001400901, SROB_0002143201, SROB_0000083101, SROB_0000548701, SROB_0000192701, SROB_0001535601	F15552_SCR_G1	S. rodhaini
SROB_0000083901, SROB_0000142501	F15553_SCR_G1	S. rodhaini
SROB_0000087401, SROB_0001653301, SROB_0000449501, SROB_0001457201, SROB_0001491401, SROB_0001252801, SROB_0002119501, SROB_0001395201, SROB_0000717501, SROB_0000818601, SROB_0001953001, SROB_0001232901, SROB_0001215101, SROB_0000878601, SROB_0001710801, SROB_0000273001, SROB_0001185601, SROB_0000309601, SROB_0001800401, SROB_0001741301, SROB_0000934001, SROB_0000769601, SROB_0000161801, SROB_0002226401, SROB_0000814401, SROB_0000153701, SROB_0001308001	F15554_SCR_G1	S. rodhaini
SROB_0001114701, SROB_0000087501	F15555_SCR_G1	S. rodhaini
SROB_0000089101, SROB_0000095301	F15556_SCR_G1	S. rodhaini
SROB_0000091401, SROB_0000098501	F15557_SCR_G1	S. rodhaini
SROB_0001930001, SROB_0000091701	F15558_SCR_G1	S. rodhaini
SROB_0000914301, SROB_0002038701, SROB_0000092201	F15559_SCR_G1	S. rodhaini
SROB_0002264501, SROB_0000095601	F15560_SCR_G1	S. rodhaini
SROB_0002236001, SROB_0000097901	F15561_SCR_G1	S. rodhaini
SROB_0000099401, SROB_0002245401	F15562_SCR_G1	S. rodhaini
SROB_0000100101, SROB_0000264801, SROB_0001597801	F15563_SCR_G1	S. rodhaini
SROB_0000102101, SROB_0002145201	F15564_SCR_G1	S. rodhaini
SROB_0001641401, SROB_0000103001	F15566_SCR_G1	S. rodhaini
SROB_0001873001, SROB_0001170401, SROB_0000371001, SROB_0000104001, SROB_0002116201, SROB_0000871501	F15567_SCR_G1	S. rodhaini
SROB_0002228201, SROB_0000106401	F15568_SCR_G1	S. rodhaini
SROB_0002008601, SROB_0000121401, SROB_0002363301, SROB_0000939401	F15572_SCR_G1	S. rodhaini
SROB_0000244001, SROB_0000771701, SROB_0000121701	F15573_SCR_G1	S. rodhaini
SROB_0002092601, SROB_0000124001	F15574_SCR_G1	S. rodhaini
SROB_0002243701, SROB_0000127601	F15575_SCR_G1	S. rodhaini
SROB_0000128201, SROB_0002367301	F15576_SCR_G1	S. rodhaini
SROB_0001327501, SROB_0000129701	F15577_SCR_G1	S. rodhaini
SROB_0000809101, SROB_0000133601	F15578_SCR_G1	S. rodhaini
SROB_0000135401, SROB_0000231201, SROB_0001718601, SROB_0001020201, SROB_0000315701, SROB_0000156501, SROB_0000306001	F15579_SCR_G1	S. rodhaini
SROB_0001001801, SROB_0000317801, SROB_0000535001, SROB_0000284301, SROB_0000136601, SROB_0000511101, SROB_0000189801, SROB_0000371301	F15580_SCR_G1	S. rodhaini
SROB_0001598101, SROB_0000144001	F15582_SCR_G1	S. rodhaini
SROB_0000145801, SROB_0001594201	F15583_SCR_G1	S. rodhaini
SROB_0001819701, SROB_0000147501, SROB_0000375301, SROB_0002057801, SROB_0000526901	F15584_SCR_G1	S. rodhaini
SROB_0000256501, SROB_0000147601	F15585_SCR_G1	S. rodhaini
SROB_0000151101, SROB_0001506901	F15586_SCR_G1	S. rodhaini
SROB_0002183701, SROB_0000396001, SROB_0000465401, SROB_0001223801, SROB_0002145901, SROB_0002110001, SROB_0000151501, SROB_0002347101, SROB_0001792701, SROB_0001954901	F15587_SCR_G1	S. rodhaini
SROB_0000166101, SROB_0001006401, SROB_0000160001, SROB_0000458001, SROB_0000175801, SROB_0001570901, SROB_0000153401, SROB_0001123001	F15588_SCR_G1	S. rodhaini
SROB_0001773201, SROB_0000159001	F15590_SCR_G1	S. rodhaini
SROB_0000544701, SROB_0000159501	F15591_SCR_G1	S. rodhaini
SROB_0000160601, SROB_0000322901, SROB_0000745701, SROB_0002260001, SROB_0001523901	F15592_SCR_G1	S. rodhaini
SROB_0001415401, SROB_0000162701	F15593_SCR_G1	S. rodhaini
SROB_0000166001, SROB_0001653401, SROB_0001379501, SROB_0000593401	F15594_SCR_G1	S. rodhaini
SROB_0000166501, SROB_0000697401	F15595_SCR_G1	S. rodhaini
SROB_0000797401, SROB_0000525401, SROB_0001381801, SROB_0000197601, SROB_0000947301, SROB_0000381701, SROB_0000168801	F15596_SCR_G1	S. rodhaini
SROB_0000791601, SROB_0000172001	F15599_SCR_G1	S. rodhaini
SROB_0000237901, SROB_0000177601, SROB_0000508901, SROB_0000881101	F15600_SCR_G1	S. rodhaini
SROB_0000182501, SROB_0000507301	F15602_SCR_G1	S. rodhaini
SROB_0000854301, SROB_0000600001, SROB_0000455901, SROB_0000184201, SROB_0000812401, SROB_0000924501	F15603_SCR_G1	S. rodhaini
SROB_0000185501, SROB_0000185601	F15604_SCR_G1	S. rodhaini
SROB_0000189401, SROB_0000401501, SROB_0000727801, SROB_0001947401, SROB_0000200101	F15606_SCR_G1	S. rodhaini
SROB_0001761401, SROB_0000688201, SROB_0001249201, SROB_0001671101, SROB_0002409101, SROB_0000193701, SROB_0000839301	F15607_SCR_G1	S. rodhaini
SROB_0000857401, SROB_0000193901, SROB_0000810701	F15608_SCR_G1	S. rodhaini
SROB_0001041001, SROB_0000512901, SROB_0000198901, SROB_0000691701, SROB_0001406101, SROB_0000241801, SROB_0001152601, SROB_0000399001, SROB_0001208801, SROB_0001214501	F15609_SCR_G1	S. rodhaini
SROB_0001733301, SROB_0000205701	F15610_SCR_G1	S. rodhaini
SROB_0000207001, SROB_0001087401	F15611_SCR_G1	S. rodhaini
SROB_0000210301, SROB_0001492101	F15612_SCR_G1	S. rodhaini
SROB_0000216301, SROB_0000323601	F15613_SCR_G1	S. rodhaini
SROB_0000773801, SROB_0000229301, SROB_0001360101, SROB_0001511501, SROB_0000616501, SROB_0002169901, SROB_0001456001, SROB_0002141801	F15615_SCR_G1	S. rodhaini
SROB_0000232801, SROB_0000364301	F15616_SCR_G1	S. rodhaini
SROB_0001148001, SROB_0000290501, SROB_0001312601, SROB_0001187901, SROB_0000662401, SROB_0000232901, SROB_0001111501, SROB_0002141001, SROB_0000327301, SROB_0000630101, SROB_0000306501	F15617_SCR_G1	S. rodhaini
SROB_0000239301, SROB_0001910301, SROB_0001064501	F15618_SCR_G1	S. rodhaini
SROB_0001320501, SROB_0000292501, SROB_0000240501, SROB_0001216001, SROB_0002352601	F15619_SCR_G1	S. rodhaini
SROB_0002268501, SROB_0000251001, SROB_0001400301	F15621_SCR_G1	S. rodhaini
SROB_0001011701, SROB_0000376901, SROB_0000261101, SROB_0001256701, SROB_0000422101, SROB_0001103601, SROB_0000828601	F15622_SCR_G1	S. rodhaini
SROB_0001160701, SROB_0000392401, SROB_0001056001, SROB_0000261301, SROB_0000400901	F15623_SCR_G1	S. rodhaini
SROB_0000595701, SROB_0000262601	F15624_SCR_G1	S. rodhaini
SROB_0000471001, SROB_0001329101, SROB_0000267801	F15626_SCR_G1	S. rodhaini
SROB_0000268401, SROB_0001359001	F15627_SCR_G1	S. rodhaini
SROB_0001108801, SROB_0000286601, SROB_0000849701	F15628_SCR_G1	S. rodhaini
SROB_0001277401, SROB_0000347201, SROB_0000287901, SROB_0000689901	F15629_SCR_G1	S. rodhaini
SROB_0000292001, SROB_0001455801, SROB_0001313901, SROB_0001509101	F15632_SCR_G1	S. rodhaini
SROB_0000870501, SROB_0001977501, SROB_0000618001, SROB_0000292701, SROB_0001874101	F15633_SCR_G1	S. rodhaini
SROB_0001836601, SROB_0000301401, SROB_0001419101	F15634_SCR_G1	S. rodhaini
SROB_0000301601, SROB_0001762601	F15635_SCR_G1	S. rodhaini
SROB_0001326401, SROB_0000308501	F15636_SCR_G1	S. rodhaini
SROB_0000428101, SROB_0002262501, SROB_0000333801, SROB_0001995601, SROB_0000494901, SROB_0000919901, SROB_0000843301	F15638_SCR_G1	S. rodhaini
SROB_0000400101, SROB_0000338501, SROB_0000400001	F15639_SCR_G1	S. rodhaini
SROB_0000350901, SROB_0000628301	F15641_SCR_G1	S. rodhaini
SROB_0002322901, SROB_0000361201	F15642_SCR_G1	S. rodhaini
SROB_0002256001, SROB_0000361501, SROB_0002261501	F15643_SCR_G1	S. rodhaini
SROB_0001303001, SROB_0000369001	F15644_SCR_G1	S. rodhaini
SROB_0000371401, SROB_0001468901, SROB_0000853301	F15645_SCR_G1	S. rodhaini
SROB_0000374501, SROB_0000520201, SROB_0001221301	F15646_SCR_G1	S. rodhaini
SROB_0000803801, SROB_0001732301, SROB_0000512501, SROB_0000375501, SROB_0002217301, SROB_0001781901	F15647_SCR_G1	S. rodhaini
SROB_0000376301, SROB_0001681601, SROB_0002285301, SROB_0001148401, SROB_0000643501, SROB_0001407401	F15648_SCR_G1	S. rodhaini
SROB_0001223501, SROB_0001096401, SROB_0001556401, SROB_0000377601	F15649_SCR_G1	S. rodhaini
SROB_0002355001, SROB_0000377801	F15650_SCR_G1	S. rodhaini
SROB_0000393701, SROB_0002366501	F15651_SCR_G1	S. rodhaini
SROB_0002164901, SROB_0000394901, SROB_0001180801, SROB_0001580001, SROB_0001729701, SROB_0001788601, SROB_0001104201, SROB_0001529801, SROB_0002314501, SROB_0001666601, SROB_0001535801, SROB_0001231601, SROB_0001322301, SROB_0001159301, SROB_0000641301	F15652_SCR_G1	S. rodhaini
SROB_0000419101, SROB_0001708401, SROB_0000419001, SROB_0001102801	F15655_SCR_G1	S. rodhaini
SROB_0000420101, SROB_0001290801, SROB_0002366201	F15656_SCR_G1	S. rodhaini
SROB_0000424901, SROB_0001233001	F15658_SCR_G1	S. rodhaini
SROB_0000764501, SROB_0000427201, SROB_0001750701, SROB_0001475701	F15659_SCR_G1	S. rodhaini
SROB_0001199101, SROB_0000431001	F15660_SCR_G1	S. rodhaini
SROB_0000432201, SROB_0000489401	F15661_SCR_G1	S. rodhaini
SROB_0000434101, SROB_0000860701, SROB_0001318701	F15663_SCR_G1	S. rodhaini
SROB_0001371001, SROB_0000440701, SROB_0001166801	F15664_SCR_G1	S. rodhaini
SROB_0000443601, SROB_0000518101	F15665_SCR_G1	S. rodhaini
SROB_0000526301, SROB_0001659601, SROB_0000744001, SROB_0000461301	F15666_SCR_G1	S. rodhaini
SROB_0000461801, SROB_0001177501	F15667_SCR_G1	S. rodhaini
SROB_0001937101, SROB_0000528301, SROB_0000468101	F15670_SCR_G1	S. rodhaini
SROB_0002276701, SROB_0001706401, SROB_0000959201, SROB_0001606601, SROB_0001404701, SROB_0000643901, SROB_0001799001, SROB_0001285301, SROB_0000718601, SROB_0000468701, SROB_0001494201	F15671_SCR_G1	S. rodhaini
SROB_0000468801, SROB_0001261101, SROB_0000792801	F15672_SCR_G1	S. rodhaini
SROB_0000697001, SROB_0000972101, SROB_0001287101, SROB_0001101201, SROB_0000578701, SROB_0000483501, SROB_0000773401	F15673_SCR_G1	S. rodhaini
SROB_0001180401, SROB_0001122901, SROB_0000502701, SROB_0002383701, SROB_0001864601	F15675_SCR_G1	S. rodhaini
SROB_0001104801, SROB_0000522201, SROB_0000790101, SROB_0001220101	F15677_SCR_G1	S. rodhaini
SROB_0002026401, SROB_0000528201, SROB_0001777301, SROB_0001337201	F15678_SCR_G1	S. rodhaini
SROB_0000888001, SROB_0000711401, SROB_0000534601, SROB_0001344801, SROB_0002150401	F15679_SCR_G1	S. rodhaini
SROB_0000536401, SROB_0001224001	F15680_SCR_G1	S. rodhaini
SROB_0002394201, SROB_0000538001	F15681_SCR_G1	S. rodhaini
SROB_0002033001, SROB_0000546801	F15683_SCR_G1	S. rodhaini
SROB_0000548301, SROB_0000571301, SROB_0001804201, SROB_0001055901, SROB_0000883601	F15684_SCR_G1	S. rodhaini
SROB_0001343101, SROB_0001739101, SROB_0000548501	F15685_SCR_G1	S. rodhaini
SROB_0000579001, SROB_0000562301	F15686_SCR_G1	S. rodhaini
SROB_0000564901, SROB_0000707401	F15687_SCR_G1	S. rodhaini
SROB_0000927501, SROB_0000567101, SROB_0002398301	F15688_SCR_G1	S. rodhaini
SROB_0001654601, SROB_0000584901	F15690_SCR_G1	S. rodhaini
SROB_0000587201, SROB_0000875301, SROB_0000854401, SROB_0001889201	F15691_SCR_G1	S. rodhaini
SROB_0001279101, SROB_0000589201	F15692_SCR_G1	S. rodhaini
SROB_0000593101, SROB_0000848201	F15693_SCR_G1	S. rodhaini
SROB_0002257701, SROB_0000630801, SROB_0000603101	F15694_SCR_G1	S. rodhaini
SROB_0001321701, SROB_0000610601	F15696_SCR_G1	S. rodhaini
SROB_0000650601, SROB_0000971801	F15697_SCR_G1	S. rodhaini
SROB_0002195301, SROB_0002401801, SROB_0000659501	F15698_SCR_G1	S. rodhaini
SROB_0000663901, SROB_0002370901, SROB_0002035501	F15699_SCR_G1	S. rodhaini
